ID,Name,Initial Power,Overall KP gain,Overall DEAD gain,DKP Gain,Goal DKP
2660962,SABACK ムワ,79.923.769,1.573.800.185,518.621,748.064.274,159.847.538
33399120,ᴺᴰᴺOtto,84.529.884,1.366.220.347,1.290.693,659.558.604,169.059.768
150781496,ᴹᵛBlueFalco,99.842.386,1.284.106.223,2.341.150,643.339.770,199.684.772
59279235,ᶻᵉⁿᵒⁿ,85.991.317,908.882.641,117.610,424.743.718,171.982.634
160010260,好ghost,91.484.689,676.447.569,1.555.205,340.349.232,182.969.378
943516,Alecco,84.871.305,509.630.870,1.500.850,312.017.204,169.742.610
89920515,Nødy,71.519.289,606.185.026,559.589,289.765.074,143.038.578
168485184,Rаyna,57.238.523,573.249.955,1.028.920,284.665.232,114.477.046
27401839,ᴹᴿ Bột,78.216.968,505.715.203,621.906,246.175.554,156.433.936
146999874,chan chua,61.433.203,506.844.832,983.237,239.721.392,122.866.406
122757689,ᴰᴷMilanista,102.010.445,443.323.090,1.510.002,234.216.424,204.020.890
133598836,ZERO RSSS,97.613.090,343.997.967,3.101.644,219.121.170,195.226.180
65852266,SpIcYFiShCaKeS,78.522.413,439.510.139,1.062.241,211.997.992,157.044.826
140211149,SCHROO the goat,76.858.541,410.134.626,778.958,207.278.586,153.717.082
8168190,無飯 TAO ツ,84.256.080,390.577.561,367.304,189.008.892,168.512.160
175825750,NuubGracz,84.349.290,313.819.473,1.285.747,172.283.084,168.698.580
147880901,Obeyz,85.173.231,340.365.988,508.734,164.490.362,170.346.462
137257445,亗VCTRSdad亗,80.473.468,305.221.083,869.397,160.060.610,160.946.936
140582582,Ryuuenᵛᶰシ,93.066.988,281.336.019,1.441.436,157.926.052,186.133.976
18912691,ScrapVan,101.089.265,266.883.302,1.030.053,145.045.556,202.178.530
98579581,ᴰᴷ vilanova,78.603.627,213.585.182,2.060.901,139.487.004,157.207.254
69808414,Sabツ,70.166.978,245.787.118,1.026.389,134.463.800,140.333.956
175830193,ᴾᴸWyssek,43.294.244,261.222.475,642.754,133.296.230,86.588.488
177000663,Vnメ Dragonメ,57.436.210,252.970.870,682.424,128.006.736,114.872.420
183802708,Shellẏ,42.169.272,228.339.636,1.029.472,126.103.154,84.338.544
134471472,Argentina58,64.482.804,211.332.741,1.383.696,125.234.698,128.965.608
42196083,Qual ツ,99.166.460,238.601.064,635.791,123.138.534,198.332.920
184028988,Firefly 乄,40.717.333,200.975.757,1.327.793,117.970.420,81.434.666
105515635,Yukoner,86.384.299,217.161.914,878.586,115.303.192,172.768.598
146517435,ᶠQuartararo,70.144.393,235.417.388,328.567,111.069.724,140.288.786
174344410,ʜᴀᴋ x viva,46.847.521,159.076.426,1.265.933,100.701.546,93.695.042
184198230,ᴰᴷBalluuun,41.662.075,122.837.998,1.523.107,86.641.944,83.324.150
176546106,VALHALLA3,68.595.953,149.938.262,842.747,84.619.614,137.191.906
42498554,ᴰᴷ Antasena,66.413.316,153.978.944,472.292,80.262.432,132.826.632
179347857,InnocentCat,40.531.646,99.514.033,1.645.011,78.226.434,81.063.292
184056977,ᴰᴷ Brød,34.136.550,108.962.029,1.022.859,71.931.944,68.273.100
164834749,Q44erty,63.177.591,121.185.797,721.319,69.889.670,126.355.182
145569747,Sr WillTeles,70.450.162,113.449.498,806.122,69.236.294,140.900.324
181678093,Vito Aquinælt,45.139.076,113.214.489,773.774,67.567.800,90.278.152
73606898,Skytze,61.271.326,102.533.894,1.063.970,67.499.480,122.542.652
175823875,ᴾᴸJimMilton,46.926.910,98.959.295,1.047.331,66.946.490,93.853.820
184105733,ㆍO L U Ʌ Pㆍ,37.177.467,109.393.096,707.502,65.227.112,74.354.934
176041880,ᴼᴬPhoenix,42.447.099,86.420.610,1.193.131,63.397.248,84.894.198
171818698,NiXXSONN,64.743.077,69.656.076,1.528.703,63.024.394,129.486.154
162053016,ᶠʳ 何曰琳,56.647.971,100.165.934,740.849,61.237.264,113.295.942
174830508,ᴷᴱNzo,49.390.319,77.276.806,1.289.853,60.542.550,98.780.638
181126001,Papa Voss 亗,34.093.367,70.326.850,1.419.226,59.464.522,68.186.734
184079815,MonKey D,31.935.953,83.801.351,976.059,57.829.482,63.871.906
174863915,Yami Sukeh1rо,51.261.790,52.391.362,1.642.265,56.995.210,102.523.580
146672216,ᴰᴷZammo,66.376.648,93.049.626,679.992,56.408.130,132.753.296
150443306,DRAKEN ツ,48.392.926,104.872.361,334.972,54.621.316,96.785.852
184179358,ZeNki,44.149.290,24.828.866,2.154.113,54.304.574,88.298.580
140393432,Prime ƸZRA,37.342.762,26.839.830,2.097.300,54.032.486,74.685.524
183752773,TasukiF2P,34.977.418,71.478.757,741.709,47.805.100,69.954.836
95711181,SilveŕRiley,85.120.476,88.850.157,321.826,47.051.956,170.240.952
183847516,ᴱVivianR,27.609.038,74.834.609,523.513,45.623.560,55.218.076
181495210,davidhernanda,32.970.632,50.185.090,1.123.185,45.474.548,65.941.264
184328359,SloppyGyros,39.527.918,71.900.423,675.100,45.195.226,79.055.836
183803218,Bagwis 乄,34.326.511,43.816.300,1.221.334,44.434.390,68.653.022
184170608,SabFarmNewb,31.650.219,7.370.321,2.046.020,44.161.318,63.300.438
173955127,RoK  Naz,40.893.395,11.153.234,1.897.557,43.037.072,81.786.790
184214568,ᴰᴷ Elian,28.117.935,44.399.025,1.080.608,41.726.370,56.235.870
183920412,LaidBack,46.459.408,50.729.926,866.698,41.045.358,92.918.816
179477880,Kaizy 甘い,36.457.575,48.612.155,938.380,41.007.216,72.915.150
175857586,RØMiLuSio҉n҉,39.405.935,57.526.575,688.936,40.733.336,78.811.870
182850270,ᴳSonicSamaS,40.563.169,55.024.974,733.612,39.681.218,81.126.338
180992504,HarryCater,31.891.324,37.436.996,1.136.330,39.633.880,63.782.648
176319595,ᴶᴮᴸSamRok,42.970.710,48.024.298,821.211,38.600.854,85.941.420
184391054,ᴷᴾwonderson,27.953.629,32.274.496,1.180.165,38.373.786,55.907.258
183773098,ᴼⁿˡʸSiege,33.534.469,75.664.228,108.358,36.892.130,67.068.938
183890395,Azimuz,30.640.346,43.418.615,816.797,36.535.040,61.280.692
169725606,CaqLaR,66.704.815,40.300.944,865.543,36.088.424,133.409.630
